"행정구역별",2013.1/2,2013.2/2,2014.1/2,2014.2/2,2015.1/2,2015.2/2,2016.1/2,2016.2/2,2017.1/2,2017.2/2,2018.1/2,2018.2/2,2019.1/2,2019.2/2,2020.1/2,2020.2/2,2021.1/2,2021.2/2,2022.1/2,2022.2/2,2023.1/2,2023.2/2
"행정구역별",실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％)
"서산시",1.9,1.4,1.0,2.6,1.8,3.2,3.2,2.3,2.6,2.7,2.1,1.1,2.1,1.4,1.4,1.7,1.1,1.2,1.4,1.4,2.2,2.2
"논산시",1.5,0.6,0.5,0.7,0.9,0.8,1.2,1.3,1.5,1.7,2.1,2.1,1.3,1.6,2.6,3.9,1.5,1.0,1.4,1.9,2.5,1.8
"계룡시",1.4,1.0,1.6,1.1,1.2,0.9,1.4,1.0,2.1,1.7,2.2,1.5,2.3,1.2,1.7,4.0,2.9,2.7,2.0,3.0,2.2,2.0
"당진시",1.3,1.8,2.1,1.3,2.5,2.5,1.4,1.0,1.7,1.8,1.8,2.2,2.8,1.8,2.8,2.2,2.0,1.9,1.5,1.8,1.5,2.2
"금산군",0.5,0.7,0.5,0.8,1.2,1.3,1.2,1.7,0.8,1.8,0.6,1.0,2.2,1.3,2.9,2.4,1.4,2.2,0.9,1.3,0.8,0.3
"연기군",2.0,0.8,1.5,0.7,0.3,1.8,2.1,1.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"부여군",1.6,0.9,1.8,1.5,2.3,2.7,1.2,1.0,1.7,1.2,2.5,0.7,1.1,0.4,1.2,1.1,2.0,1.2,1.2,0.6,0.9,0.9
"서천군",2.3,1.4,1.6,1.2,2.4,1.5,1.4,1.3,0.9,1.1,0.6,0.9,1.3,0.6,0.6,0.2,1.2,0.2,0.8,1.2,0.6,0.4
"청양군",0.8,0.4,1.5,1.7,1.5,1.1,0.9,0.2,0.5,1.2,0.7,0.3,0.4,0.1,0.8,1.1,1.4,0.1,0.8,0.6,0.9,1.2
"홍성군",1.8,0.6,1.2,0.8,1.6,3.0,2.6,1.3,1.2,2.4,2.0,2.5,2.7,2.0,1.3,2.1,1.4,2.0,1.3,1.4,2.3,2.9
"예산군",1.3,1.3,1.4,0.9,2.1,1.6,1.5,1.3,1.0,2.1,2.2,1.6,1.7,0.3,1.3,1.4,2.2,1.5,1.9,1.4,2.4,1.7
"태안군",1.0,1.5,1.4,1.0,1.1,1.0,1.2,2.3,2.1,1.3,1.6,1.0,1.3,1.0,1.2,0.3,0.5,0.1,0.6,0.9,0.8,0.5
"전주시",2.0,1.6,2.9,2.0,2.9,3.1,2.9,3.3,3.6,2.8,3.4,1.8,2.7,2.3,2.9,3.2,2.9,3.1,2.7,2.6,3.3,2.6
"군산시",1.9,2.2,1.0,1.6,0.7,1.0,1.5,1.6,1.6,2.5,4.1,3.2,3.5,2.2,2.5,3.4,2.9,2.0,1.3,1.9,1.3,2.1
"익산시",0.5,0.6,1.3,0.7,1.4,0.6,1.3,1.6,1.0,2.0,1.9,1.6,3.4,2.3,1.6,3.0,2.8,1.0,2.1,2.3,2.6,2.2
"정읍시",1.4,1.6,1.8,1.1,2.2,0.6,2.2,1.3,1.9,2.1,1.8,1.0,0.8,0.7,0.9,0.9,0.9,0.8,1.1,1.2,1.5,1.3
"남원시",1.1,0.7,0.7,1.4,1.3,1.1,1.6,1.8,1.8,2.1,2.9,1.5,2.3,1.4,1.4,2.7,1.7,1.0,1.5,2.0,1.7,1.8
"김제시",1.3,0.8,1.1,0.4,1.5,1.1,1.3,1.2,0.9,1.9,1.5,1.1,1.8,0.8,1.8,1.0,2.0,0.7,1.7,1.9,3.0,1.7
"완주군",1.4,1.2,1.6,1.5,1.8,0.7,1.8,1.6,3.3,2.8,1.8,2.1,0.6,3.2,2.8,2.9,2.1,1.5,2.2,2.6,2.5,1.8
